observed,predicted
-4.387371227349181,-3.7061922158039318
-4.025018436125297,-4.51790383798863
-4.394860478263123,-4.132414129454596
-4.833564087788664,-5.105448601928444
-4.137070011406324,-4.358673119234901
-4.504447345701873,-4.193271703978025
-4.398660360344968,-5.076241409401894
-4.6770042524648385,-3.878776966496014
-3.6961116994439465,-4.1980931257015595
-2.5535553270433375,-4.167240962595682
-6.418824278578936,-3.970781515884432
-4.491922715794107,-4.878272541276735
-3.4072527933006467,-3.8824830420107945
-4.157183887782815,-3.797419451008433
-4.092671112907755,-4.5226935605469105
-4.715512521583774,-4.22668085571053
-4.248393617791636,-4.423730600868914
-4.177264261789142,-3.978660928347958
-3.5448822340557404,-4.107110471163418
-4.669331449725679,-4.436533549526396
-4.429415365655182,-4.385535748170835
-5.3716351600365835,-4.778483845910823
-5.205262104980529,-4.511369152508125
-4.167935442423786,-3.490437957028395
-4.489008652954181,-4.022591235493105
-4.459054451062257,-4.544664949374382
-3.9479790387864004,-2.9784827100751894
-3.24521587511288,-4.390475884314249
-3.1576492130775637,-4.183677532400447
-4.860530079364879,-3.8509808392565383
-3.690947222983996,-4.587642672189458
-4.369807742102002,-4.368515652837896
-5.804243408242185,-3.885106312402003
-4.909002271558851,-4.377284868342489
-5.39836691973504,-4.157967754770213
-4.1551340668430266,-3.9474774767126597
-4.319105789208486,-3.118734669788667
-3.4238092075228725,-5.440575871985778
-3.502007904078766,-3.9275200485701287
-4.074752818669134,-4.273774256345806
-3.8981707815393905,-3.8524725406552243
-5.692067797376595,-4.445602740283327
-4.2600602127824,-4.427418093619249
-3.2829576989144873,-4.817100669083263
-5.422957920818244,-4.138040329784207
-3.1795161173943396,-4.1582804119880645
-3.8163587087150743,-4.758695269545455
-4.216495992959432,-4.9496295725762245
-3.2691778279886954,-4.052498007463763
-4.636470080275769,-5.204186645536381
-3.852696620113382,-4.124182939616713
-4.254952255952662,-4.071527023561025
-4.64432166569179,-3.6840655233701742
-3.430506147124813,-4.410407175449665
-4.803667990934121,-4.512221343262212
-4.289435995680003,-4.127917850533395
-5.411967846137808,-5.504194268625641
-4.098469404160477,-4.353997852586233
-4.538938273579451,-4.540656002016369
-3.350732308839638,-4.242479051721711
-4.7277990906128995,-3.877092243733318
-4.405746930260308,-4.025134717816167
-4.6099327090164275,-3.6396651090543926
-4.2443625866369885,-3.98545094961338
-3.543106335870371,-4.8949535891784315
-3.862048106597425,-4.538298384523761
-4.84365318435554,-4.091595152563648
-3.4723647189449975,-4.8831236788521695
-2.855689640039403,-4.745566252227903
-3.509163607752467,-4.471558813833992
-2.5955155730666903,-3.7270727633875946
-5.617570251779053,-4.991447870984697
